provision_id,provision,commission,council_st9547,parliament,edpb_edps,ecb,eesc,member_states,status,extract
art4-personal-data,Definition of personal data (Art 4(1)),Adds relative/controller-centric clause,Deleted (point 1(a) struck); Art 4(1) unchanged,"IMCO draft opinion (PE789.877) deletes the relative/controller-centric clause (Am 98); recital 27 reworded to 'same or higher' protection, CJEU reading, independent supervisory authorities (Am 17). JURI silent (data-acquis only). Joint ITRE/LIBE report (PE786.818) tables no Art 4(1) amendment; Kaljurand/centre-left hostile to redefinition",Strongly opposes redefinition,—,Must stay objective and adequately broad; broad CJEU reading,FR/PL/DE welcome deletion; PL keep Art 4(1) intact; DE wants SRB/relative-anonymity reflected; NL: keep EDPB competent on pseudonymisation guidance (Kamerbrief 18 Jun),Council deletes; likely consensus to drop,extracts/council/ST-9547-2026_gdpr-art3-amendments.md#point-1--article-4-definitions
art4-research,Scientific research definition (Art 4(38)),New definition,Re-included reworked in May text,"No committee amendment on the GDPR research definition (JURI/IMCO data-acquis only); the joint ITRE/LIBE report (PE786.818) does not amend the Art 4(38) definition, but keeps further-processing for research compatible while re-anchoring it to Art 89 safeguards (Am 45; recitals 29/32, Am 2-3)",Cautious; wants tighter wording,—,Keep commonly-accepted meaning (EDPB/CJEU); enable industrial research,PL opposes deleting rec 28/def; RO wants SME innovation covered; FR wants research-independence safeguards; NL: adopt EDPB/EDPS research wording (autonomous/methodological/verifiable),Contested; re-added in May,extracts/council/ST-9547-2026_gdpr-art3-amendments.md#point-1--article-4-definitions
art9-ai,Special categories in AI training (Art 9(2)(k)/9(5)),New derogation for incidental processing,Retained and tightened (avoid/erase/safeguard),"IMCO draft opinion (PE789.877) deletes Art 9(2)(k) and 9(5) (Am 100-101) and recital 33 (Am 20) — opposes the 'AI privilege' as contrary to necessity/proportionality. Stronger than Council. Joint ITRE/LIBE report (PE786.818) tables no Art 9(2)(k)/9(5) amendment, but bars data-intermediation data being used to train AI systems (Data Act, Am 25)",Wants strict necessity,—,—,"FR/PL want incidental-only + 'disproportionate effort' clarified; RO wants SME-proportionate; NL: if kept, narrow to 'technically impossible' (drop 'disproportionate effort')",Retained with safeguards,extracts/council/ST-9547-2026_gdpr-art3-amendments.md#point-3--article-9-special-categories
art9-biometric,Biometric verification derogation (Art 9(2)(l)),New derogation under sole control,Retained with safeguards,"Joint ITRE/LIBE report (PE786.818) tightens the derogation — 'one-to-one' verification + Union-law safeguards (Am 46; recital 34, Am 4)",Welcomed,—,—,FR wants Union/MS-law gate; PL restrictive + tech-neutral reading,Likely consensus,extracts/council/ST-9547-2026_gdpr-art3-amendments.md#point-3--article-9-special-categories
art12-57-abuse,Manifestly unfounded/excessive/abusive requests (Art 12(5) & 57),Refuse where reasonable grounds to believe other purpose,Retained but requires abusive intention demonstrated,"IMCO draft opinion (PE789.877) deletes the abuse-of-rights restriction (Am 103-106) and adds an anti-circumvention/anti-dark-pattern duty barring abusive resort to Art 12(5) (Am 107, DMA Art 13-inspired). Joint ITRE/LIBE report (PE786.818) reverses the abuse reframe — Art 12(5) 'choice between' a fee or refusal with the controller bearing the burden (Am 48-49; recital 35, Am 5)",Criticises link to purpose,—,Right of access is enabling; burden of proving abuse stays with controller,PL: burden on controller (welcomed) but read restrictively; FR: also catch procedure circumvention; NL: support 'abusive intention' standard (per CJEU/EDPB),Contested,extracts/council/ST-9547-2026_gdpr-art3-amendments.md#point-4--article-12-5-abusive-requests
art13-transparency,Transparency exemptions (Art 13(4)/(5)),Broad exemption in clear/circumscribed relationships,Retained but narrowed to low-risk,IMCO recital 44 tightens the carve-out to 'strictly necessary and proportionate' / 'explicitly requested' (Am 21); no operative Art 13 amendment. Joint ITRE/LIBE report (PE786.818) tables no Art 13 amendment,Cautious,—,—,FR supports; PL keep strictly low-risk; research derogation exceptional,Contested,extracts/council/ST-9547-2026_gdpr-art3-amendments.md#point-5--article-13-4-information-obligations
art22-adm,Automated decision-making (Art 22),Rewrite weakening contractual-necessity test,Largely restored to current GDPR; (a) clause deleted,"Joint ITRE/LIBE report (PE786.818) restores the Art 22 right not to be subject to solely automated decisions (Am 51) and defines meaningful human intervention (Am 53; recital 38, Am 6) — goes beyond the Council",Welcomed restoration,—,ADM must respect data-minimisation; human decision preferred where reasonable,FR backs keeping current Art 22; PL: refine not delete; EE open to COM amendment; NL: do NOT amend Art 22 (backs EDPB/EDPS/AP),Council de-escalates,extracts/council/ST-9547-2026_gdpr-art3-amendments.md#point-7--article-22-automated-decisions
art33-breach,Breach notification (Art 33),High-risk threshold; 72h,High-risk threshold; 96h; via national entry point,"IMCO draft opinion (PE789.877): EDPB makes the breach template public and the Commission shall take utmost account of the Board (Am 108-109); new safeguard that the single entry point must not lower security/privacy/consumer/data-protection levels or limit supervisory powers (Am 110). Joint ITRE/LIBE report (PE786.818) keeps 96h (Am 54) and has the EDPB establish/publish the template + high-risk list (Am 56-57; recital 39, Am 7)",Welcomed threshold+96h,Joint controllers should file one SEP notification (else up to 22 duplicates); add EUDPR to SEP,—,PL/RO: single clear 96h (flag 72h/96h ambiguity); PL keep implementing-act for template/lists,Likely consensus,extracts/council/ST-9547-2026_gdpr-art3-amendments.md#point-8--article-33-breach-notification
art35-dpia,DPIA EU-level list (Art 35),Commission implementing acts,Retained; power moved to EDPB,"Joint ITRE/LIBE report (PE786.818): the EDPB establishes and publishes the DPIA lists, template and methodology; Commission only 'may' adopt the template (Am 58-63; recital 40, Am 8)",Supports EDPB role,—,—,PL opposes EDPB-establishes model (wants implementing act); RO wants light SME DPIA templates,Likely consensus,extracts/council/ST-9547-2026_gdpr-art3-amendments.md#point-9--article-35-dpia-lists
art88a-cookies,Cookies/terminal equipment consent,Move into GDPR (Art 88a); 6-month no-repeat; signals,GDPR Art 88a DELETED; consent kept in ePrivacy Art 5(3),IMCO draft opinion (PE789.877): limits gatekeepers to one consent prompt/year per refused purpose and voids consent re-requested within the no-repeat window as an unfair practice under Dir 2005/29 (Am 115-116); opposes deleting ePrivacy Art 4 (Am 122). Joint ITRE/LIBE report (PE786.818) does not address the cookie-consent relocation — only drafting fixes to the Art 4(32)/(33) terminal-equipment/e-comms definitions (Am 43-44),Mixed,—,Explore simplified consent in low-risk contexts (risk-based),FR/PL keep cookie rules in ePrivacy (Presidency adopted); FR also wants Art 88b deleted,Major battle; relocated to ePrivacy,extracts/council/ST-9547-2026_eprivacy-art5.md
